"LOCATION","Country","MEA","Overall measure","VAR","Components","POP","Age","SEX","Sex","EDU","Education","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2005","2005","USD","US Dollar","0","Units",,,19.4903259277344,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2006","2006","USD","US Dollar","0","Units",,,19.5755481719971,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2007","2007","USD","US Dollar","0","Units",,,19.3674716949463,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2008","2008","USD","US Dollar","0","Units",,,20.3173313140869,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2009","2009","USD","US Dollar","0","Units",,,19.9946517944336,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2010","2010","USD","US Dollar","0","Units",,,20.4444046020508,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2011","2011","USD","US Dollar","0","Units",,,21.3027496337891,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2012","2012","USD","US Dollar","0","Units",,,20.8380088806152,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2013","2013","USD","US Dollar","0","Units",,,20.8011665344238,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2014","2014","USD","US Dollar","0","Units",,,21.1058597564697,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2015","2015","USD","US Dollar","0","Units",,,21.1297988891602,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","WOMEN","Women","TP","Total","2016","2016","USD","US Dollar","0","Units",,,21.4118633270264,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2005","2005","USD","US Dollar","0","Units",,,21.8308506011963,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2006","2006","USD","US Dollar","0","Units",,,21.7326068878174,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2007","2007","USD","US Dollar","0","Units",,,21.9058837890625,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2008","2008","USD","US Dollar","0","Units",,,22.3393440246582,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2009","2009","USD","US Dollar","0","Units",,,22.1743507385254,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2010","2010","USD","US Dollar","0","Units",,,23.0296478271484,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2011","2011","USD","US Dollar","0","Units",,,23.9069766998291,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2012","2012","USD","US Dollar","0","Units",,,23.9731426239014,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2013","2013","USD","US Dollar","0","Units",,,23.6354427337646,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2014","2014","USD","US Dollar","0","Units",,,24.1309642791748,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2015","2015","USD","US Dollar","0","Units",,,24.0834674835205,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","MEN","Men","TP","Total","2016","2016","USD","US Dollar","0","Units",,,24.4049606323242,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","WOMEN","Women","TP","Total","2007","2007","PC","Percentage","0","Units",,,3.2211229801178,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","WOMEN","Women","TP","Total","2008","2008","PC","Percentage","0","Units",,,2.71822428703308,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","WOMEN","Women","TP","Total","2009","2009","PC","Percentage","0","Units",,,2.80660176277161,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","WOMEN","Women","TP","Total","2010","2010","PC","Percentage","0","Units",,,2.67985820770264,,
